feature_set,year,block,ROC_AUC,PR_AUC,Brier,n_test,n_train,prevalence
AEF,2022,4,0.4514571948998179,0.3822515792144341,0.3312762677669525,212,10584,0.425
AEF,2022,5,0.5100679208992006,0.554762218198108,0.3339187800884247,258,10308,0.492
AEF,2022,6,0.604724409448819,0.7401055621166471,0.4319874048233032,187,10734,0.679
AEF,2022,7,0.46801346801346805,0.5761039476543572,0.42168930172920227,191,10710,0.576
AEF,2022,8,0.5696296296296296,0.601273544419862,0.3348143696784973,181,10770,0.552
AEF,2022,9,0.4669042383804686,0.5022354421108961,0.38339492678642273,230,10476,0.526
AEF,2023,0,0.609375,0.013157894736842105,0.03396023437380791,193,10698,0.005
AEF,2023,1,0.44855967078189296,0.022416524486689838,0.038040440529584885,165,10866,0.018
AEF,2023,2,0.5610155610155609,0.2156018830207944,0.15581904351711273,181,10770,0.182
AEF,2023,3,0.5057158410451823,0.0642636237481931,0.06619869917631149,178,10788,0.062
AEF,2023,4,0.4399038461538461,0.0331431736335477,0.04623249173164368,212,10584,0.019
AEF,2023,5,0.5654761904761905,0.04784051766853281,0.037333667278289795,258,10308,0.023
AEF,2023,6,0.6842857142857144,0.12356858763261928,0.062102098017930984,187,10734,0.064
AEF,2023,7,0.8538251366120219,0.20683661145617666,0.039839230477809906,191,10710,0.042
AEF,2023,8,0.43364418938307037,0.14782270341425555,0.10275380313396454,181,10770,0.094
AEF,2023,9,0.4977973568281938,0.019416046110480038,0.03978706896305084,230,10476,0.013
AEF,2024,0,0.4424083769633508,0.013938805245264693,0.09349728375673294,193,10698,0.01
AEF,2024,1,0.2437888198757764,0.019339445466171844,0.07654944062232971,165,10866,0.024
AEF,2024,2,0.4840909090909091,0.23217672772635103,0.039371613413095474,181,10770,0.028
AEF,2024,3,0.5959302325581395,0.0815503410524287,0.039718642830848694,178,10788,0.034
AEF,2024,4,0.4832535885167464,0.01839961952321503,0.059891682118177414,212,10584,0.014
AEF,2024,5,0.3315484158857653,0.028295413548267208,0.08180863410234451,258,10308,0.035
AEF,2024,6,0.33783783783783783,0.011827956989247313,0.06214255094528198,187,10734,0.011
AEF,2024,7,0.578494623655914,0.040141774782577924,0.06638994812965393,191,10710,0.026
AEF,2024,8,0.4438202247191011,0.021146964893616477,0.05419880896806717,181,10770,0.017
AEF,2024,9,0.47916666666666663,0.038562363220650014,0.11224949359893799,230,10476,0.026
AEF+Stack,2018,0,0.41991162662248005,0.681242840396826,0.5196635723114014,193,10698,0.736
AEF+Stack,2018,1,0.5176715176715176,0.44957315683816845,0.32315197587013245,165,10866,0.448
AEF+Stack,2018,2,0.5646616541353384,0.5263959733248764,0.30997154116630554,181,10770,0.42
AEF+Stack,2018,3,0.48302139037433156,0.40851397230445885,0.31988951563835144,178,10788,0.382
AEF+Stack,2018,4,0.5489175116470265,0.6332379696427219,0.37188205122947693,212,10584,0.58
AEF+Stack,2018,5,0.529835390946502,0.669453228250784,0.4152257442474365,258,10308,0.628
AEF+Stack,2018,6,0.5733104238258877,0.5069056391651143,0.3426344692707062,187,10734,0.481
AEF+Stack,2018,7,0.3953601953601954,0.34317513209046996,0.2898766100406647,191,10710,0.34
AEF+Stack,2018,8,0.4917771232204222,0.544710170764783,0.37898194789886475,181,10770,0.536
AEF+Stack,2018,9,0.5236363636363636,0.7824933827829519,0.5071442723274231,230,10476,0.761
AEF+Stack,2019,0,0.4023809523809524,0.11043207419016539,0.12500254809856415,193,10698,0.13
AEF+Stack,2019,1,0.5359186268277177,0.23715465719833673,0.11753468215465546,165,10866,0.133
AEF+Stack,2019,2,0.6246770025839793,0.0899486228821725,0.048365868628025055,181,10770,0.05
AEF+Stack,2019,3,0.43047619047619046,0.01911387664563708,0.025553017854690552,178,10788,0.017
AEF+Stack,2019,4,0.5027173913043479,0.14345055473169713,0.1325429379940033,212,10584,0.132
AEF+Stack,2019,5,0.5940058479532164,0.15275247913349904,0.10600379854440689,258,10308,0.116
AEF+Stack,2019,6,0.5257826887661141,0.044334633794663694,0.034076154232025146,187,10734,0.032
AEF+Stack,2019,7,0.543956043956044,0.05236170060858557,0.04960528388619423,191,10710,0.047
AEF+Stack,2019,8,0.6660818713450292,0.22303341788231157,0.0562908835709095,181,10770,0.055
AEF+Stack,2019,9,0.42044444444444445,0.02241776105972093,0.044077299535274506,230,10476,0.022
AEF+Stack,2020,0,0.40942028985507245,0.0499497909084121,0.23971828818321228,193,10698,0.047
AEF+Stack,2020,1,0.4787234042553191,0.17394872544779874,0.19511644542217255,165,10866,0.145
AEF+Stack,2020,2,0.5391061452513967,0.01778880226789511,0.30837899446487427,181,10770,0.011
AEF+Stack,2020,3,0.35825163398692816,0.14571156970565008,0.27479591965675354,178,10788,0.191
AEF+Stack,2020,4,0.42674913026671824,0.054340946549519833,0.1827036589384079,212,10584,0.061
AEF+Stack,2020,5,0.46153846153846156,0.0995295766765103,0.17611631751060486,258,10308,0.101
AEF+Stack,2020,6,0.37485029940119763,0.08973191634649887,0.22955620288848877,187,10734,0.107
AEF+Stack,2020,7,0.40820105820105823,0.2505956467561369,0.28512653708457947,191,10710,0.293
AEF+Stack,2020,8,0.5730706075533661,0.059432416749658296,0.3167559802532196,181,10770,0.039
AEF+Stack,2020,9,0.36477803738317754,0.06305072539828516,0.1866222321987152,230,10476,0.07
AEF+Stack,2021,0,0.30526315789473685,0.015211175636463391,0.016566112637519836,193,10698,0.016
AEF+Stack,2021,1,0.8251028806584362,0.06346749226006192,0.018980849534273148,165,10866,0.018
AEF+Stack,2021,2,0.587888198757764,0.24093269328892886,0.09816128760576248,181,10770,0.11
AEF+Stack,2021,3,0.5470679012345679,0.1559307644068466,0.08321882039308548,178,10788,0.09
AEF+Stack,2021,4,0.7038861521620142,0.08176076642909878,0.04236115142703056,212,10584,0.042
AEF+Stack,2021,5,0.5537706381079875,0.14810977199433056,0.03424752876162529,258,10308,0.035
AEF+Stack,2021,6,0.6547303271441203,0.1789835579679066,0.06394775956869125,187,10734,0.07
AEF+Stack,2021,7,0.7077713551701991,0.18377349277570446,0.08617987483739853,191,10710,0.094
AEF+Stack,2021,8,0.7338501291989663,0.1302907787727838,0.04659338295459747,181,10770,0.05
AEF+Stack,2021,9,0.5989583333333333,0.03713704071026934,0.02599804848432541,230,10476,0.026
AEF+Stack,2022,0,0.5173672566371682,0.43830876753175874,0.28574395179748535,193,10698,0.415
AEF+Stack,2022,1,0.4464070048309179,0.5428995851383634,0.4378674030303955,165,10866,0.582
AEF+Stack,2022,2,0.5905963302752295,0.6681373102444518,0.4670270085334778,181,10770,0.602
AEF+Stack,2022,3,0.5481110964854548,0.6180863969933043,0.42279157042503357,178,10788,0.601
AEF+Stack,2022,4,0.45309653916211295,0.3972920052011646,0.35029155015945435,212,10584,0.425
AEF+Stack,2022,5,0.47929314179239046,0.483966643649251,0.3767874240875244,258,10308,0.492
AEF+Stack,2022,6,0.5565616797900262,0.713846222400792,0.5223996639251709,187,10734,0.679
AEF+Stack,2022,7,0.34657687991021324,0.49413356571872946,0.43456798791885376,191,10710,0.576
AEF+Stack,2022,8,0.5106172839506173,0.566935032770699,0.4012911319732666,181,10770,0.552
AEF+Stack,2022,9,0.5320342709833952,0.5581685287070657,0.45943179726600647,230,10476,0.526
AEF+Stack,2023,0,0.5416666666666667,0.011235955056179775,0.009392197243869305,193,10698,0.005
